height,path_time,path_comm,path_down,path_up,path_rtt,ring_time,ring_comm,ring_down,ring_up,ring_rtt,ring_amortized_time,ring_evicted_time,ring_amortized_comm,ring_evicted_comm,ring_amortized_rtt,concur_time,concur_comm,concur_down_sync,concur_down_async,concur_up_sync,concur_up_async,concur_rtt_sync,concur_rtt_async,concur_amortized_time,concur_evicted_time,concur_amortized_comm,concur_evicted_comm,concur_amortized_rtt,concur_amortized_rtt_async
4096,0.07500786396861053,786432.0,393216.0,393216.0,2.0,0.0240118584495757,251760.0,126320.0,125440.0,1.15234375,0.02518804251871734,0.026662152464763497,264096.0,279552.0,1.205078125,0.01976568668884375,941960.0,53380.0,454656.0,48900.0,385024.0,1.375,1.25,0.020998417740835974,0.022280252116458545,954888.0,968328.0,1.53125,1.25
16384,0.0861386853915167,903168.0,451584.0,451584.0,1.96875,0.027887356329647305,292400.0,146480.0,145920.0,1.15234375,0.02933850861503015,0.030891487472350352,307616.0,323899.07692307694,1.208984375,0.019936177562325606,958088.0,53252.0,462848.0,48772.0,393216.0,1.375,1.25,0.02094941066568549,0.022666650222896732,968712.0,986717.3333333334,1.53125,1.25
65536,0.09922542158700529,1040384.0,520192.0,520192.0,1.984375,0.03139712802872946,329200.0,165360.0,163840.0,1.1484375,0.033092424616766945,0.03474976032648085,346976.0,364353.2549019608,1.203125,0.020155930024053307,974728.0,53380.0,471040.0,48900.0,401408.0,1.375,1.25,0.021816170223152312,0.023097992645720655,992136.0,1005576.0,1.53125,1.25
262144,0.11250771027803434,1179648.0,589824.0,589824.0,2.0,0.0350899354544161,367920.0,184880.0,183040.0,1.140625,0.03722784580366533,0.03867447640489263,390336.0,405504.0,1.21484375,0.0204000775650602,991624.0,53636.0,479232.0,49156.0,409600.0,1.375,1.25,0.021535394934441003,0.022524231041609027,1003528.0,1013896.0,1.53125,1.25
1048576,0.12500840038061153,1310720.0,655360.0,655360.0,2.0,0.03878289378228132,406640.0,204400.0,202240.0,1.1328125,0.04060023085977628,0.04223303051783417,425696.0,442816.0,1.19140625,0.020546523819692082,1007496.0,53380.0,487424.0,48900.0,417792.0,1.375,1.25,0.02203590046838667,0.02341395098567322,1023112.0,1037560.9411764706,1.53125,1.25
