height,path_time,path_comm,path_down,path_up,path_rtt,ring_time,ring_comm,ring_down,ring_up,ring_rtt,ring_amortized_time,ring_evicted_time,ring_amortized_comm,ring_evicted_comm,ring_amortized_rtt,concur_time,concur_comm,concur_down_sync,concur_down_async,concur_up_sync,concur_up_async,concur_rtt_sync,concur_rtt_async,concur_amortized_time,concur_evicted_time,concur_amortized_comm,concur_evicted_comm,concur_amortized_rtt,concur_amortized_rtt_async
4096,0.0748583640644244,784896.0,392448.0,392448.0,1.99609375,0.02508770171117828,263048.0,131048.0,132000.0,1.1748046875,0.026129928320181534,0.027602834325650652,273976.0,289419.63636363635,1.2294921875,0.020772203586259575,952520.0,58660.0,454656.0,54180.0,385024.0,1.375,1.25,0.021950279647536035,0.02343051885418119,964872.0,980392.5423728813,1.53125,1.25
16384,0.08750520633160973,917504.0,458752.0,458752.0,2.0,0.02894113934195846,303452.0,151292.0,152160.0,1.169921875,0.02976966230793187,0.031406233316162546,312136.0,329295.50310559006,1.22216796875,0.020943600001413844,968648.0,58532.0,462848.0,54052.0,393216.0,1.375,1.25,0.02228011902872004,0.023558691797298345,982664.0,996069.8666666667,1.53125,1.25
65536,0.10000707936286879,1048576.0,524288.0,524288.0,2.0,0.03310746371664586,347136.0,173056.0,174080.0,1.1767578125,0.03380556568285556,0.03532026259771809,354456.0,370337.8008658008,1.2294921875,0.02118122331999053,985480.0,58756.0,471040.0,54276.0,401408.0,1.375,1.25,0.022405029151211238,0.02390701826331016,998312.0,1014060.5714285714,1.53125,1.25
262144,0.11251063787564507,1179648.0,589824.0,589824.0,2.0,0.036853981973650064,386416.0,192976.0,193440.0,1.171875,0.03766246368384692,0.03908668450128514,394896.0,409829.14685314684,1.22021484375,0.02133998407469196,1001480.0,58564.0,479232.0,54084.0,409600.0,1.375,1.25,0.022868928172307734,0.024485809088688824,1017512.0,1034465.2121212122,1.53125,1.25
1048576,0.12488584396723836,1309440.0,654720.0,654720.0,1.998046875,0.04055415400165735,425216.0,212736.0,212480.0,1.1640625,0.04166431678110257,0.04318386206726761,436856.0,452788.6406926407,1.234375,0.021553552416315368,1018056.0,58660.0,487424.0,54180.0,417792.0,1.375,1.25,0.022762109107180777,0.02418865753961312,1030728.0,1045685.5593220339,1.53125,1.25
