b4_path,b4_ring,b4_concur,b8_path,b8_ring,b8_concur,b16_path,b16_ring,b16_concur,block_size
168.0,211.0,314.61654166907056,320.0,167.66666666666666,346.875,608.0,144.31428571428572,522.4582418087522,4
160.0,201.0,307.94987500240387,304.0,159.33333333333331,341.875,576.0,136.77142857142857,518.0582418087522,8
152.0,191.0,301.2832083357372,288.0,151.0,336.875,544.0,129.22857142857143,513.6582418087522,16
144.0,181.0,294.61654166907056,272.0,142.66666666666666,331.875,512.0,121.68571428571428,509.2582418087522,32
136.0,171.0,287.94987500240387,256.0,134.33333333333331,326.875,480.0,114.14285714285714,504.8582418087522,64
256.0,322.0,562.5664166714744,480.0,251.99999999999997,643.75,896.0,213.2,1000.9164836175044,128
480.0,604.0,1098.4661666762822,896.0,470.66666666666663,1267.5,1664.0,396.22857142857146,1984.2329672350088,256
896.0,1128.0,2143.599000019231,1664.0,874.6666666666666,2495.0,3072.0,732.1142857142858,3933.265934470018,512
1664.0,2096.0,4180.531333371795,3072.0,1615.9999999999998,4910.0,5632.0,1343.5428571428572,7796.131868940035,1024
3072.0,3872.0,8147.729333410257,5632.0,2965.333333333333,9660.0,10240.0,2445.714285714286,15451.46373788007,2048
